Item #,Product Name,Additional Description,Thickness,SheetCount,Features,Product Color,Additional Product Color,Additional Product Color2,Imprint options,Imprint_Options_2,Location1,Location2  ,Location3,Location4,Point Style_1,Ink_Color_1,Point Style_2,Ink_Color_2,Ink_Options,Pricing Info,Production time,Imprint Info,Product Dimensions,US  Patent,Recycle  Info,Shipping  Info,Pack Qty,Pack Weight,Icons,Page Number
SND3A25,"3 x 3"" Adhesive Die-Cut Notepads ",25 sheet pad,,25,Add a FREE stock background|Always in stock|Choose from eleven shapes or create your own custom shape,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"3"" x 3"" Die-Cut Notepad Shapes Due to the die-cutting process, final shape will measure approximately 2_3/4"" x 2_3/4"". The gray shaded area indicates the adhesive edge.",,,,250,7 lbs (approx.),USA ^24,124
SND3A25ECO,"3 x 3"" Adhesive Die-Cut Notepads with Recycled Content option",25 sheet pad,,25,Add a FREE stock background|Always in stock|Choose from eleven shapes or create your own custom shape|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"3"" x 3"" Die-Cut Notepad Shapes Due to the die-cutting process, final shape will measure approximately 2_3/4"" x 2_3/4"". The gray shaded area indicates the adhesive edge.",,,,250,7 lbs (approx.),USA ^24 ^ECO,124
SND3A50,"3 x 3"" Adhesive Die-Cut Notepads ",50 sheet pad,,50,Add a FREE stock background|Always in stock|Choose from eleven shapes or create your own custom shape,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"3"" x 3"" Die-Cut Notepad Shapes Due to the die-cutting process, final shape will measure approximately 2_3/4"" x 2_3/4"". The gray shaded area indicates the adhesive edge.",,,,125,7 lbs (approx.),USA ^24,124
SND3A50ECO,"3 x 3"" Adhesive Die-Cut Notepads with Recycled Content option",50 sheet pad,,50,Add a FREE stock background|Always in stock|Choose from eleven shapes or create your own custom shape|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days,,"3"" x 3"" Die-Cut Notepad Shapes Due to the die-cutting process, final shape will measure approximately 2_3/4"" x 2_3/4"". The gray shaded area indicates the adhesive edge.",,,,125,7 lbs (approx.),USA ^24 ^ECO,124
SND4A100,"4"" x 3"" Adhesive Die-Cut Notepads",100 sheet pad,,100,Add a FREE stock background|Always in stock|Choose from 29 stock shapes or create your own custom shape,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,,5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval,,"4"" x 3"" Die-Cut Notepad Due to the die-cutting process, final shape will measure approximately 3 3/4"" x 2 3/4"". The gray shaded area indicates the adhesive edge.",,,,60,9 lbs (approx.),USA ^24,125
SND4A100ECO,"4"" x 3"" Adhesive Die-Cut Notepads with Recycled Content option",100 sheet pad,,100,Add a FREE stock background|Always in stock|Choose from 29 stock shapes or create your own custom shape|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval,,"4"" x 3"" Die-Cut Notepad Due to the die-cutting process, final shape will measure approximately 3 3/4"" x 2 3/4"". The gray shaded area indicates the adhesive edge.",,,,60,9 lbs (approx.),USA ^24 ^ECO,125
SND4A25,"4"" x 3"" Adhesive Die-Cut Notepads",25 sheet pad,,25,Add a FREE stock background|Always in stock|Choose from 29 stock shapes or create your own custom shape,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval,,"4"" x 3"" Die-Cut Notepad Due to the die-cutting process, final shape will measure approximately 3 3/4"" x 2 3/4"". The gray shaded area indicates the adhesive edge.",,,,250,10 lbs (approx.),USA ^24,125
SND4A25ECO,"4"" x 3"" Adhesive Die-Cut Notepads with Recycled Content option",25 sheet pad,,25,Add a FREE stock background|Always in stock|Choose from 29 stock shapes or create your own custom shape|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval,,"4"" x 3"" Die-Cut Notepad Due to the die-cutting process, final shape will measure approximately 3 3/4"" x 2 3/4"". The gray shaded area indicates the adhesive edge.",,,,250,10 lbs (approx.),USA ^24 ^ECO,125
SND4A50,"4"" x 3"" Adhesive Die-Cut Notepads",50 sheet pad,,50,Add a FREE stock background|Always in stock|Choose from 29 stock shapes or create your own custom shape,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,,5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval,,"4"" x 3"" Die-Cut Notepad Due to the die-cutting process, final shape will measure approximately 3 3/4"" x 2 3/4"". The gray shaded area indicates the adhesive edge.",,,,125,9 lbs (approx.),USA ^24,125
SND4A50ECO,"4"" x 3"" Adhesive Die-Cut Notepads with Recycled Content option",50 sheet pad,,50,Add a FREE stock background|Always in stock|Choose from 29 stock shapes or create your own custom shape|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval,,"4"" x 3"" Die-Cut Notepad Due to the die-cutting process, final shape will measure approximately 3 3/4"" x 2 3/4"". The gray shaded area indicates the adhesive edge.",,,,125,9 lbs (approx.),USA ^24 ^ECO,125
SND4B100,"4"" x 6"" Adhesive Die-Cut Notepads",100 sheet pad,,100,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"4"" x 6"" ",,,,50,14 lbs (approx.),USA ^24,126
SND4B100ECO,"4"" x 6"" Adhesive Die-Cut Notepads with Recycled Content option",100 sheet pad,,100,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"4"" x 6"" ",,,,50,14 lbs (approx.),USA ^24 ^ECO,126
SND4B25,"4"" x 6"" Adhesive Die-Cut Notepads",25 sheet pad,,25,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"4"" x 6"" ",,,,250,15 lbs (approx.),USA ^24,126
SND4B25ECO,"4"" x 6"" Adhesive Die-Cut Notepads with Recycled Content option",25 sheet pad,,25,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"4"" x 6"" ",,,,250,15 lbs (approx.),USA ^24 ^ECO,126
SND4B50,"4"" x 6"" Adhesive Die-Cut Notepads",50 sheet pad,,50,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"4"" x 6"" ",,,,125,15 lbs (approx.),USA ^24,126
SND4B50ECO,"4"" x 6"" Adhesive Die-Cut Notepads with Recycled Content option",50 sheet pad,,50,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"4"" x 6"" ",,,,125,15 lbs (approx.),USA ^24 ^ECO,126
SND5A100,"5"" x 3"" Adhesive Die-Cut Notepads",100 sheet pad,,100,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"5"" x 3"" ",,,,60,8 lbs (approx.),USA ^24,126
SND5A100ECO,"5"" x 3"" Adhesive Die-Cut Notepads with Recycled Content option",100 sheet pad,,100,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"5"" x 3"" ",,,,60,8 lbs (approx.),USA ^24 ^ECO,126
SND5A25,"5"" x 3"" Adhesive Die-Cut Notepads",25 sheet pad,,25,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"5"" x 3"" ",,,,250,8 lbs (approx.),USA ^24,126
SND5A25ECO,"5"" x 3"" Adhesive Die-Cut Notepads with Recycled Content option",25 sheet pad,,25,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"5"" x 3"" ",,,,250,8 lbs (approx.),USA ^24 ^ECO,126
SND5A50,"5"" x 3"" Adhesive Die-Cut Notepads",50 sheet pad,,50,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"5"" x 3"" ",,,,125,8 lbs (approx.),USA ^24,126
SND5A50ECO,"5"" x 3"" Adhesive Die-Cut Notepads with Recycled Content option",50 sheet pad,,50,Add a FREE stock background|Always in stock|Popular shapes perfect for promoting special event|Contains 30% Post-Consumer Recycled Fiber!,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Dark imprints are recommended when using a stock background. Some restrictions may apply. If providing your own background artwork, we recommend that the artwork bleed on all sides. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, orders must be placed in 500-piece increments. ",5 working days. Custom die-cut shape orders will be shipped within 15 working days of receipt of proof approval.,,"5"" x 3"" ",,,,125,8 lbs (approx.),USA ^24 ^ECO,126
STB,Sheaffer? Sentinel?,Ballpoint,,,"Over 3.5 miles of ballpoint write-out |Fits into virtually any padfolio or pocket calendar,  making it perfect for practical everyday use |Packaged in Sheaffer's standard gift box |Cartridge refills available","Chrome Plate with Blue Matte, Chrome Plate with Black Matte",,,"Screen Printing (SP): Price includes a 1-color barrel imprint.  2 colors available.  Add $.12(C) per pen for second imprint color.  See diagram for imprint area, location and number of colors.",,"LE: 1 1/2""W x 7/32""H ","SP: 1 1/8""W x 5/8""H (max. 2 colors)",,,Medium Point,Black,,,,,5 working days.,,"1/2""W x 5 1/8""H",,,,25,5 lbs (approx.),24,108
STCCB,Sheaffer? Sentinel?,Ballpoint,,,"Over 3.5 miles of ballpoint write-out |Fits into virtually any padfolio or pocket calendar,  making it perfect for practical everyday use |Packaged in Sheaffer's standard gift box |Cartridge refills available",Chrome Plate with Chrome Plate Trim Matte,,,"Laser Engraving (LE): Price includes 1 line of repeating copy or personalization on cap. Gray colorfill included.  Add $.60(G) per pen for second location or personalization.  PhotoFast Emblems: Clip-$2.50(G) each. Set-up charge for new orders only: $18.00(G).  See diagram for imprint area, location and number of colors.",,"LE: 1 1/2""W x 7/32""H ","SP: 1 1/8""W x 5/8""H (max. 2 colors)",,,Medium Point,Black,,,,,5 working days.,,"1/2""W x 5 1/8""H",,,,25,6 lbs (approx.),24,108
STCGB,Sheaffer? Sentinel?,Ballpoint,,,"Over 3.5 miles of ballpoint write-out |Fits into virtually any padfolio or pocket calendar,  making it perfect for practical everyday use |Packaged in Sheaffer's standard gift box |Cartridge refills available",Chrome Plate with 22K Gold Electroplate Trim,,,"Laser Engraving (LE): Price includes 1 line of repeating copy or personalization on cap. Gray colorfill included.  Add $.60(G) per pen for second location or personalization.  PhotoFast Emblems: Clip-$2.50(G) each. Set-up charge for new orders only: $18.00(G).  See diagram for imprint area, location and number of colors.",,"LE: 1 1/2""W x 7/32""H ","SP: 1 1/8""W x 5/8""H (max. 2 colors)",,,Medium Point,Black,,,,,5 working days.,,"1/2""W x 5 1/8""H",,,,25,6 lbs (approx.),24,108
STLB,BIC? Steel?,Two-Piece Ballpoint,,,"Sleek, modern design with polished-chrome trim |Refillable Soft, cushioned grip (STLRET)  |Black velour sleeve included",Silver,STLB/STLRET: Choose 1 barrel color.  All include polished chrome-plated trim.,,"Screen Printing (SP):  Price includes a 1-color imprint on cap or barrel. 2 colors available on cap, 1 color on barrel. For combination of cap and barrel imprints, maximum 1 color on cap and 1 color on barrel. Imprints default to cap unless otherwise specified.  Add $.12(C) per pen for second imprint color or location. ",,"SP: 1 3/8""W x 5/8""H 
(max. 2 colors) (Default)","SP: 1 3/8""W x 5/8""H (max. 1 color)",,,Medium Point,Black,Gel Ink,Black,Gel ink option.  Add $.55(G) per pen.  Please allow additional working days on your order.,,5 working days.,,"21/32""W x 5 1/4""H",,,,100,6 lbs (approx.),24,89
STLRET,BIC? Steel?,Retractable,,,"Sleek, modern design with polished-chrome trim |Refillable Soft, cushioned grip (STLRET)  |Black velour sleeve included","Silver, Black, Indigo",STLB/STLRET: Choose 1 barrel color.  All include polished chrome-plated trim.,,"Price includes a 1-color imprint on barrel. 2 colors available.  Add $.12(C) per pen for second imprint color or location.  PhotoFast Emblems: Clip-$2.50(G) each. Set-up charge for new orders only: $18.00(G). See diagram for imprint area, location and number of colors. Laser Engraving (LE):  Price includes  1 line of repeating copy or personalization on barrel.   Add $.60(G) per pen for second location or personalization. Not available on STLRET silver finish.  New Optional 330§ Laser Engraving:  Barrel-1 1/2""W x 1 1/4""H; $50(G) set-up charge.  $.60(G) running charge per pen. See diagrams for imprint area.",,"SP: 1 3/8""W x 5/8""H (max. 2 colors)","LE: 1 1/2""W x 1/2""H (max. 1color)",,,Medium Point,Black,Gel Ink,Black,Gel ink option.  Add $.55(G) per pen.  Please allow additional working days on your order.,,5 working days.,,"21/32""W x 5 1/4""H",,,,100,7 lbs (approx.),24,89
STYL,BIC? Style? ,,,,BIC? designed cap recognized worldwide |Solid white barrel with slim profile,"Black, Blue, Green, Red",Choose cap color from selection shown.  All include white barrel.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 2 colors available.  Add $.12(C) per pen for second imprint color. See diagram for imprint area, location and number of colors.",,"SP: 2 1/4""W x 3/4""H (max. 2 colors)",,,,Medium Point   ,Black,,,,,5 working days.,,"17/32""W x 5 13/16""H",,,,500,8 lbs (approx.),24,18
STYLCL,BIC? Style? Clear,,,,BIC? designed cap recognized worldwide |Popular translucent colored barrel ,"Blue, Green, Purple, Red",Choose pen color from selection shown.  Cap matches barrel color.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 2 colors available.  Add $.12(C) per pen for second imprint color. See diagram for imprint area, location and number of colors.",,"SP: 2 1/4""W x 3/4""H (max. 2 colors)",,,,Medium Point,Black,,,,,5 working days.,,"17/32""W x 5 13/16""H",,,,500,8 lbs (approx.),24,19
T537R5,BIC? Triumph? 537R,,,,"Available in .5mm (ultra-fine point) and  .7mm (fine point) featuring ultra-smooth ink system for effortless writing |Modern and professional design |Metallic wrapped barrel .5mm has silver cap, .7mm has charcoal cap Jewel-tone accent  ","Black, Blue, Red",Choose 1 trim/ink color. All include silver wrapped barrel and clear rubber grip. Ink color matches trim color.,,"Screen Printing (SP): Price includes a 1-color  cap imprint. 2 colors available.  Add $.12(C) for second imprint color. See diagram for imprint area, location and  number of colors. ",,"SP: 1 1/8""w x  x 1/2""H
(max. 2 colors)",,,,Needle Point .5mm,"Black, Blue, Red",,,.5mm,,5 working days.,,"7/16""W x 5 7/16""H",,,,400,10 lbs (approx.),24,68
T537R7,BIC? Triumph? 537R,,,,"Available in .5mm (ultra-fine point) and  .7mm (fine point) featuring ultra-smooth ink system for effortless writing |Modern and professional design |Metallic wrapped barrel .5mm has silver cap, .7mm has charcoal cap Jewel-tone accent  ","Black, Blue, Red",Choose 1 trim/ink color. All include silver wrapped barrel and clear rubber grip. Ink color matches trim color.,,"Screen Printing (SP): Price includes a 1-color  cap imprint. 2 colors available.  Add $.12(C) for second imprint color. See diagram for imprint area, location and  number of colors. ",,"SP: 1 1/8""w x  x 1/2""H
(max. 2 colors)",,,,Needle Point .7mm,"Black, Blue, Red",,, .7mm,,5 working days.,,"7/16""W x 5 7/16""H",,,,400,10 lbs (approx.),24,68
TS,BIC? Tri-Stic?,,,,"3 sides, 3 different imprints in 3 different colors!|Always in stock|Over 100 possible color combinations","Black, Blue, Burgundy, Cream, Forest Green, Green, Navy, Orange, Pink, Purple, Red, Teal, White, Yellow",Choose 1 barrel and 1 trim color.  Please note that barrel and trim colors may not be an exact color match.,,"Screen Printing (SP): Price includes a 1-color barrel imprint on 3 sides. 1-color clip imprint available. One line of copy per side. Copy and color may be different on each side at no additional charge. Add $.12(C) per pen for clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 3""W x 7/32""H (max. 1 color)","SP: 1 1/8W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 13/32""H",,,,500,10 lbs (approx.),24,37
TSECO,BIC? Ecolutions? Tri-Stic?,,,,"3 sides, 3 different imprints in 3 different colors!|Always in stock|Over 100 possible color combinations|Made with 75% pre-consumer recycled plastic","Black, Forest Green, Navy, Red",Choose 1 trim color.  All include a white barrel.,,"Screen Printing (SP): Price includes a 1-color barrel imprint on 3 sides. 1-color clip imprint available. One line of copy per side. Copy and color may be different on each side at no additional charge. Add $.12(C) per pen for clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 3""W x 7/32""H (max. 1 color)","SP: 1 1/8W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 13/32""H",,,,500,10 lbs (approx.),24 ^ECO,37
TSCL,BIC? Tri-Stic? Clear,,,,"3 sides, 3 different imprints in 3 different colors!|Always in stock","Black, Blue, Clear, Green, Orange, Pink, Purple, Red, Royal Blue",Choose 1 barrel color.  All include clear trim.,,"Screen Printing (SP): Price includes a 1-color barrel imprint on 3 sides. One line of copy per side. Copy and color may be different on each side at no additional charge. 1-color clip imprint available. Add $.12(C) per pen for clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 3""W x 7/32""H (max. 1 color)","SP: 1 1/8W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 13/32""H",,,,500,9 lbs (approx.),24,38
TSG,BIC? Tri-Stic? Foam Grip,,,,"3 sides, 3 different imprints in 3 different colors!|Always in stock |Foam gripping section matches trim color","Black, Blue, Forest Green, Purple, Navy, Red","Choose 1 trim/grip color.  All include white barrel and section. Printing Layout: As positioned in first image, Side 1 is the side with the Paper Solutions imprint.  Side 3 is the side shown with Paper5K.  Side 2 is not shown.",,"Screen Printing (SP): Price includes a 1-color barrel imprint on 3 sides. One line of copy per side. Copy and color may be different on each side at no additional charge. 1-color clip imprint available. Add $.12(C) per pen for clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 2 3/8""W x 7/32""H (max. 1 color)","SP: 1 1/8W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"9/16""W x 5 13/32""H",,,,350,8 lbs (approx.),24,38
TSMAG,BIC? Tri-Stic? Magnet,,,,"3 imprint areas, 3 different imprints in 3 different colors!|Always in stock|Over 100 possible color combinations|Magnet option ","Black, Blue, Burgundy, Cream, Forest Green, Green, Navy, Orange, Pink, Purple, Red, Teal, White, Yellow",Choose 1 barrel and 1 trim color.  Please note that barrel and trim colors may not be an exact color match.  Magnet option is applied to Side 2.,,"Screen Printing (SP): Price includes a 1-color barrel imprint on 2 sides. 1-color clip imprint available. One line of copy per side. Copy and color may be different on each side at no additional charge. Add $.12(C) per pen for clip imprint. See diagrams for imprint areas, location and number of colors.",,"SP: 3""W x 7/32""H (max. 1 color)","SP: 1 1/8W x 5/32""H (max. 1 color)""",,,Medium Point,"Black, Blue, Red",Fine Point,"Black, Blue",BIC? Easy-Glide System? Ink or  BIC? Fraud Defense Ink? option.  Add $.05(G) per pen.,,5 working days.,,"1/2""W x 5 13/32""H",,,,500,11 lbs (approx.),,37
